gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	rights	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1145631989	09c4287e-e6d5-4552-a07f-bff8a00833d8	http://arctos.database.museum/guid/MVZ:Herp:69952?seid=1515974	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US	0.5 mi NW Ellicott Railroad Station, 4 mi W Watsonville	8edbbde0-055e-11d8-b850-b8a03c50a862	36.92162537798771	-121.83385385969395					1958-06-28T00:00Z	28	6	1958	2432006	2432006	PRESERVED_SPECIMEN	MVZ	Amphibian and reptile specimens	69952	1925	Meredith J. Mahoney	http://creativecommons.org/publicdomain/zero/1.0/		Collector(s): James D. Anderson			2016-03-27T03:59Z		COORDINATE_ROUNDED;COORDINATE_REPROJECTED;TAXON_MATCH_FUZZY
1145632019	09c4287e-e6d5-4552-a07f-bff8a00833d8	http://arctos.database.museum/guid/MVZ:Herp:69979?seid=935959	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US	0.5 mi NW Ellicott Railroad Station, 4 mi W Watsonville	8edbbde0-055e-11d8-b850-b8a03c50a862	36.92162537798771	-121.83385385969395					1958-08-29T00:00Z	29	8	1958	2432006	2432006	PRESERVED_SPECIMEN	MVZ	Amphibian and reptile specimens	69979	2026	Meredith J. Mahoney	http://creativecommons.org/publicdomain/zero/1.0/		Collector(s): James D. Anderson			2016-03-27T03:59Z		COORDINATE_ROUNDED;COORDINATE_REPROJECTED;TAXON_MATCH_FUZZY
1145631918	09c4287e-e6d5-4552-a07f-bff8a00833d8	http://arctos.database.museum/guid/MVZ:Herp:69904?seid=53074	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US	Valencia Lagoon, Rio del Mar	8edbbde0-055e-11d8-b850-b8a03c50a862	36.973413751582974	-121.88529566412444					1958-07-05T00:00Z	5	7	1958	2432006	2432006	PRESERVED_SPECIMEN	MVZ	Amphibian and reptile specimens	69904	1963	Meredith J. Mahoney	http://creativecommons.org/publicdomain/zero/1.0/		Collector(s): James D. Anderson			2016-03-27T03:59Z		COORDINATE_ROUNDED;COORDINATE_REPROJECTED;TAXON_MATCH_FUZZY
1145632031	09c4287e-e6d5-4552-a07f-bff8a00833d8	http://arctos.database.museum/guid/MVZ:Herp:69980?seid=1043440	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US	0.5 mi NW Ellicott Railroad Station, 4 mi W Watsonville	8edbbde0-055e-11d8-b850-b8a03c50a862	36.92162537798771	-121.83385385969395					1958-08-29T00:00Z	29	8	1958	2432006	2432006	PRESERVED_SPECIMEN	MVZ	Amphibian and reptile specimens	69980	2027	Meredith J. Mahoney	http://creativecommons.org/publicdomain/zero/1.0/		Collector(s): James D. Anderson			2016-03-27T03:59Z		COORDINATE_ROUNDED;COORDINATE_REPROJECTED;TAXON_MATCH_FUZZY
1145631903	09c4287e-e6d5-4552-a07f-bff8a00833d8	http://arctos.database.museum/guid/MVZ:Herp:69911?seid=135173	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US	Valencia Lagoon, Rio del Mar	8edbbde0-055e-11d8-b850-b8a03c50a862	36.973413751582974	-121.88529566412444					1959-01-05T00:00Z	5	1	1959	2432006	2432006	PRESERVED_SPECIMEN	MVZ	Amphibian and reptile specimens	69911	2128	Meredith J. Mahoney	http://creativecommons.org/publicdomain/zero/1.0/		Collector(s): James D. Anderson			2016-03-27T03:59Z		COORDINATE_ROUNDED;COORDINATE_REPROJECTED;TAXON_MATCH_FUZZY
1145632078	09c4287e-e6d5-4552-a07f-bff8a00833d8	http://arctos.database.museum/guid/MVZ:Herp:70040?seid=201368	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US	0.5 mi NW Ellicott Railroad Station, 4 mi W Watsonville	8edbbde0-055e-11d8-b850-b8a03c50a862	36.92162537798771	-121.83385385969395					1959-03-01T00:00Z	1	3	1959	2432006	2432006	PRESERVED_SPECIMEN	MVZ	Amphibian and reptile specimens	70040	2194	Meredith J. Mahoney	http://creativecommons.org/publicdomain/zero/1.0/		Collector(s): James D. Anderson			2016-03-27T03:59Z		COORDINATE_ROUNDED;COORDINATE_REPROJECTED;TAXON_MATCH_FUZZY
1145631977	09c4287e-e6d5-4552-a07f-bff8a00833d8	http://arctos.database.museum/guid/MVZ:Herp:69963?seid=721763	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US	0.5 mi NW Ellicott Railroad Station, 4 mi W Watsonville	8edbbde0-055e-11d8-b850-b8a03c50a862	36.92162537798771	-121.83385385969395					1958-07-20T00:00Z	20	7	1958	2432006	2432006	PRESERVED_SPECIMEN	MVZ	Amphibian and reptile specimens	69963	1984	Meredith J. Mahoney	http://creativecommons.org/publicdomain/zero/1.0/		Collector(s): James D. Anderson			2016-03-27T03:59Z		COORDINATE_ROUNDED;COORDINATE_REPROJECTED;TAXON_MATCH_FUZZY
1145632044	09c4287e-e6d5-4552-a07f-bff8a00833d8	http://arctos.database.museum/guid/MVZ:Herp:69985?seid=1107924	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US	0.5 mi NW Ellicott Railroad Station, 4 mi W Watsonville	8edbbde0-055e-11d8-b850-b8a03c50a862	36.92162537798771	-121.83385385969395					1958-09-13T00:00Z	13	9	1958	2432006	2432006	PRESERVED_SPECIMEN	MVZ	Amphibian and reptile specimens	69985	2032	Meredith J. Mahoney	http://creativecommons.org/publicdomain/zero/1.0/		Collector(s): James D. Anderson			2016-03-27T03:59Z		COORDINATE_ROUNDED;COORDINATE_REPROJECTED;TAXON_MATCH_FUZZY
1145632097	09c4287e-e6d5-4552-a07f-bff8a00833d8	http://arctos.database.museum/guid/MVZ:Herp:70055?seid=928701	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US	0.5 mi NW Ellicott Railroad Station, 4 mi W Watsonville	8edbbde0-055e-11d8-b850-b8a03c50a862	36.92162537798771	-121.83385385969395					1959-05-17T00:00Z	17	5	1959	2432006	2432006	PRESERVED_SPECIMEN	MVZ	Amphibian and reptile specimens	70055	2350	Meredith J. Mahoney	http://creativecommons.org/publicdomain/zero/1.0/		Collector(s): James D. Anderson			2016-03-27T03:59Z		COORDINATE_ROUNDED;COORDINATE_REPROJECTED;TAXON_MATCH_FUZZY
1145632024	09c4287e-e6d5-4552-a07f-bff8a00833d8	http://arctos.database.museum/guid/MVZ:Herp:69994?seid=1186547	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US	0.5 mi NW Ellicott Railroad Station, 4 mi W Watsonville	8edbbde0-055e-11d8-b850-b8a03c50a862	36.92162537798771	-121.83385385969395					1958-09-13T00:00Z	13	9	1958	2432006	2432006	PRESERVED_SPECIMEN	MVZ	Amphibian and reptile specimens	69994	2041	Meredith J. Mahoney	http://creativecommons.org/publicdomain/zero/1.0/		Collector(s): James D. Anderson, Daniel C. Wilhoft			2016-03-27T03:59Z		COORDINATE_ROUNDED;COORDINATE_REPROJECTED;TAXON_MATCH_FUZZY
1145632061	09c4287e-e6d5-4552-a07f-bff8a00833d8	http://arctos.database.museum/guid/MVZ:Herp:70027?seid=1129248	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US	0.5 mi NW Ellicott Railroad Station, 4 mi W Watsonville	8edbbde0-055e-11d8-b850-b8a03c50a862	36.92162537798771	-121.83385385969395					1959-01-10T00:00Z	10	1	1959	2432006	2432006	PRESERVED_SPECIMEN	MVZ	Amphibian and reptile specimens	70027	2153	Meredith J. Mahoney	http://creativecommons.org/publicdomain/zero/1.0/		Collector(s): James D. Anderson			2016-03-27T03:59Z		COORDINATE_ROUNDED;COORDINATE_REPROJECTED;TAXON_MATCH_FUZZY
1145632081	09c4287e-e6d5-4552-a07f-bff8a00833d8	http://arctos.database.museum/guid/MVZ:Herp:70048?seid=286974	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US	0.5 mi NW Ellicott Railroad Station, 4 mi W Watsonville	8edbbde0-055e-11d8-b850-b8a03c50a862	36.92162537798771	-121.83385385969395					1959-03-30T00:00Z	30	3	1959	2432006	2432006	PRESERVED_SPECIMEN	MVZ	Amphibian and reptile specimens	70048	2305	Meredith J. Mahoney	http://creativecommons.org/publicdomain/zero/1.0/		Collector(s): James D. Anderson			2016-03-27T03:59Z		COORDINATE_ROUNDED;COORDINATE_REPROJECTED;TAXON_MATCH_FUZZY
1145632089	09c4287e-e6d5-4552-a07f-bff8a00833d8	http://arctos.database.museum/guid/MVZ:Herp:70034?seid=778727	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US	0.5 mi NW Ellicott Railroad Station, 4 mi W Watsonville	8edbbde0-055e-11d8-b850-b8a03c50a862	36.92162537798771	-121.83385385969395					1959-02-14T00:00Z	14	2	1959	2432006	2432006	PRESERVED_SPECIMEN	MVZ	Amphibian and reptile specimens	70034	2184	Meredith J. Mahoney	http://creativecommons.org/publicdomain/zero/1.0/		Collector(s): James D. Anderson			2016-03-27T03:59Z		COORDINATE_ROUNDED;COORDINATE_REPROJECTED;TAXON_MATCH_FUZZY
1145632109	09c4287e-e6d5-4552-a07f-bff8a00833d8	http://arctos.database.museum/guid/MVZ:Herp:70010?seid=294186	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US	0.5 mi NW Ellicott Railroad Station, 4 mi W Watsonville	8edbbde0-055e-11d8-b850-b8a03c50a862	36.92162537798771	-121.83385385969395					1958-12-13T00:00Z	13	12	1958	2432006	2432006	PRESERVED_SPECIMEN	MVZ	Amphibian and reptile specimens	70010	2095	Meredith J. Mahoney	http://creativecommons.org/publicdomain/zero/1.0/		Collector(s): James D. Anderson			2016-03-27T03:59Z		COORDINATE_ROUNDED;COORDINATE_REPROJECTED;TAXON_MATCH_FUZZY
1145652662	09c4287e-e6d5-4552-a07f-bff8a00833d8	http://arctos.database.museum/guid/MVZ:Herp:88571?seid=1502732	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US	0.5 mi NW Ellicott Railroad Station, 4 mi W Watsonville	8edbbde0-055e-11d8-b850-b8a03c50a862	36.92162537798771	-121.83385385969395					1969-10-05T00:00Z	5	10	1969	2432006	2432006	PRESERVED_SPECIMEN	MVZ	Amphibian and reptile specimens	88571	384	Meredith J. Mahoney	http://creativecommons.org/publicdomain/zero/1.0/		Collector(s): Stephen B. Ruth			2016-03-27T03:59Z		COORDINATE_ROUNDED;COORDINATE_REPROJECTED;TAXON_MATCH_FUZZY
1145653967	09c4287e-e6d5-4552-a07f-bff8a00833d8	http://arctos.database.museum/guid/MVZ:Herp:89715?seid=586897	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US	0.5 mi NW Ellicott Railroad Station, 4 mi W Watsonville	8edbbde0-055e-11d8-b850-b8a03c50a862	36.92162537798771	-121.83385385969395					1969-10-05T00:00Z	5	10	1969	2432006	2432006	PRESERVED_SPECIMEN	MVZ	Amphibian and reptile specimens	89715	385	Meredith J. Mahoney	http://creativecommons.org/publicdomain/zero/1.0/		Collector(s): Stephen B. Ruth			2016-03-27T03:59Z		COORDINATE_ROUNDED;COORDINATE_REPROJECTED;TAXON_MATCH_FUZZY
1145655091	09c4287e-e6d5-4552-a07f-bff8a00833d8	http://arctos.database.museum/guid/MVZ:Herp:90729?seid=1510246	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US	Philadelphia	8edbbde0-055e-11d8-b850-b8a03c50a862	32.77123527524553	-89.11639962039482									2432006	2432006	PRESERVED_SPECIMEN	MVZ	Amphibian and reptile specimens	90729	A-1381	Museum of Vertebrate Zoology, University of California, Berkeley	http://creativecommons.org/publicdomain/zero/1.0/		Collector(s): David B. Wake			2016-03-27T03:59Z		COORDINATE_REPROJECTED
1037801867	a8ee9bc6-5914-427d-9fba-f8545250ac34	http://arctos.database.museum/guid/CUMV:Amph:1994?seid=2239218	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US	Raleigh	cf9ceb80-9f3d-11da-b791-b8a03c50a862	35.7801	-78.63882					1900-10-01T00:00Z	1	10	1900	2432006	2432006	PRESERVED_SPECIMEN	CUMV	Amphibian specimens	1994	4331, 3445	unknown	http://creativecommons.org/publicdomain/zero/1.0/		Collector(s): Brimley Brothers			2016-03-26T04:54Z		
1037802803	a8ee9bc6-5914-427d-9fba-f8545250ac34	http://arctos.database.museum/guid/CUMV:Amph:2869?seid=2244965	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US	Hibernia	cf9ceb80-9f3d-11da-b791-b8a03c50a862	40.9439	-74.4931					1935-09-17T00:00Z	17	9	1935	2432006	2432006	PRESERVED_SPECIMEN	CUMV	Amphibian specimens	2869		unknown	http://creativecommons.org/publicdomain/zero/1.0/		Collector(s): Harold Trapido			2016-03-26T04:54Z		GEODETIC_DATUM_ASSUMED_WGS84
1037799388	a8ee9bc6-5914-427d-9fba-f8545250ac34	http://arctos.database.museum/guid/CUMV:Amph:13334?seid=2226540	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US	Chastine	cf9ceb80-9f3d-11da-b791-b8a03c50a862	31.75966	-93.08526					1915-02-27T00:00Z	27	2	1915	2432006	2432006	PRESERVED_SPECIMEN	CUMV	Amphibian specimens	13334		unknown	http://creativecommons.org/publicdomain/zero/1.0/		Collector(s): Karl P. Schmidt			2016-03-26T04:54Z		COORDINATE_ROUNDED
1037799382	a8ee9bc6-5914-427d-9fba-f8545250ac34	http://arctos.database.museum/guid/CUMV:Amph:13338?seid=2222447	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US	Chastine	cf9ceb80-9f3d-11da-b791-b8a03c50a862	31.75966	-93.08526					1915-02-27T00:00Z	27	2	1915	2432006	2432006	PRESERVED_SPECIMEN	CUMV	Amphibian specimens	13338		unknown	http://creativecommons.org/publicdomain/zero/1.0/		Collector(s): Karl P. Schmidt			2016-03-26T04:54Z		COORDINATE_ROUNDED
